89.0	74.0	84.0	82.0	80.0	84.0	86.0	89.0	89.0	69.0	78.0	84.0	73.0
86.5	74.0	85.0	80.0	78.0	83.0	72.0	81.0	80.0	78.0	82.0	87.0	91.0
90.0	76.0	73.0	83.0	80.0	74.0	66.0	92.0	83.0	93.0	82.0	96.0	94.0
91.5	84.0	80.0	85.0	85.0	86.0	65.0	79.0	84.0	84.0	87.0	88.0	81.0
88.0	79.0	71.0	87.0	76.0	76.0	67.0	91.0	88.0	93.0	81.0	96.0	94.0
91.5	82.0	88.0	84.0	80.0	87.0	80.0	86.0	81.0	95.0	93.0	93.0	86.0
75.0	68.0	70.0	66.0	70.0	80.0	84.0	86.0	86.0	70.0	67.0	85.0	69.0
86.0	83.0	82.0	65.0	80.0	82.0	73.0	83.0	84.0	71.0	84.0	75.0	90.0
84.5	83.0	77.0	64.0	83.0	80.0	84.0	85.0	85.0	71.0	90.0	68.0	85.0
79.0	77.0	81.0	65.0	79.0	88.0	83.0	85.0	82.0	77.0	80.0	72.0	80.0
82.0	77.0	87.0	60.0	74.0	79.0	77.0	83.0	89.0	89.0	85.0	95.0	70.0
78.5	71.0	84.0	60.0	75.0	73.0	70.0	84.0	87.0	71.0	77.0	75.0	70.0
91.0	77.0	79.0	77.0	70.0	83.0	72.0	85.0	88.0	95.0	84.0	68.0	63.0
88.0	78.0	83.0	83.0	83.0	82.0	75.0	85.0	87.0	88.0	82.0	84.0	87.0
77.5	75.0	87.0	52.0	82.0	79.0	85.0	93.0	84.0	69.0	92.0	68.0	73.0
75.5	75.0	95.0	66.0	82.0	78.0	60.0	79.0	80.0	90.0	87.0	95.0	80.0
91.0	79.0	71.0	66.0	82.0	81.0	84.0	94.0	84.0	88.0	88.0	75.0	90.0
86.0	78.0	85.0	74.0	88.0	77.0	66.0	80.0	85.0	81.0	86.0	88.0	76.0
72.0	76.0	85.0	69.0	80.0	81.0	80.0	88.0	84.0	74.0	94.0	91.0	74.0
88.0	76.0	86.0	62.0	85.0	78.0	71.0	82.0	85.0	88.0	84.0	66.0	71.0
84.5	82.0	78.0	78.0	84.0	79.0	70.0	87.0	85.0	89.0	84.0	72.0	78.0
90.0	77.0	71.0	68.0	78.0	79.0	66.0	90.0	84.0	95.0	80.0	85.0	88.0
81.0	78.0	86.0	67.0	82.0	80.0	77.0	82.0	84.0	68.0	87.0	80.0	78.0
82.0	77.0	74.0	65.0	73.0	71.0	63.0	80.0	88.0	86.0	69.0	87.0	71.0
82.0	75.0	76.0	67.0	85.0	74.0	76.0	93.0	85.0	76.0	80.0	83.0	89.0
81.0	71.0	73.0	80.0	70.0	77.0	64.0	82.0	79.0	78.0	82.0	77.0	70.0
77.0	75.0	80.0	71.0	61.0	90.0	62.0	83.0	72.0	79.0	70.0	91.0	61.0
86.5	82.0	80.0	85.0	89.0	77.0	83.0	86.0	85.0	90.0	82.0	74.0	86.0
88.0	72.0	83.0	80.0	73.0	79.0	60.0	90.0	73.0	78.0	85.0	70.0	88.0
84.0	72.0	79.0	70.0	74.0	85.0	70.0	91.0	89.0	80.0	83.0	94.0	69.0
77.5	77.0	79.0	70.0	71.0	70.0	67.0	78.0	86.0	84.0	90.0	95.0	90.0
84.0	74.0	92.0	70.0	79.0	78.0	62.0	84.0	81.0	92.0	80.0	92.0	81.0
82.0	75.0	83.0	66.0	79.0	76.0	73.0	77.0	82.0	81.0	85.0	82.0	78.0
84.5	84.0	92.0	83.0	85.0	86.0	86.0	87.0	80.0	95.0	92.0	94.0	80.0
80.5	80.0	84.0	61.0	76.0	76.0	63.0	68.0	85.0	78.0	84.0	90.0	71.0
90  90  90  90  90  90  90  90  90  
111111111111
